id,establishedYear,title,city,description,houseType,bhkType,address,shared,bedAvailable,roomAvailable,availableFor,bookingType,area(sq-fit),bathroomCount,furnishingType,facilities,minRent(Rs),minRoomRent(Rs),minRoomAdvance(Rs),lat,long,available_from
357984,2020.0,Mantra Insignia_502,pune,"This beautiful 2 BHK semi_furnished, house is located in the heart of Keshav Nagar, Pune. Priced at ₹27000 for full house.",Independent Apartment,2 BHK,amanora park town,2,0,2,"boys,girls,family",house,1190,1,semi_furnished,['Tv'],13500,13500,54000,18.51175880432129,73.93595123291016,2023-10-10
359923,2023.0,SP Recidency-303,bengaluru,"This charming semi_furnished 2 BHK independent apartment for boys, girls, and family is located at Kachohalli,Bengaluru and is close to the major commercial centres of the area.",Independent Apartment,2 BHK,kachohalli,2,0,2,"boys,girls,family",house,900,2,semi_furnished,[],6000,6000,18000,12.992420196533203,77.46806335449219,2023-10-07
251629,2010.0,Madhu Nest,hyderabad,"Looking for a charming 2 BHK gated society apartment for girls at an affordable price in Venkataraman Colony, Hyderabad? Then, this is right one for you.",Gated Society Apartment,2 BHK,khairtabad,1,1,0,girls,bed,1000,2,fully_furnished,['Security'],6300,12600,25200,17.41333770751953,78.45211791992188,2023-10-06
1683,,Rajeev House Ardee City,gurugram,"This spacious fully_furnished 4 BHK independent house for girls is located at Block C,Gurugram and is close to the major commercial centres of the area.",Independent House,4 BHK,ardee city,6,3,3,girls,bed,1500,2,fully_furnished,['Power Backup'],5600,10500,10500,28.43914031982422,77.0766372680664,2023-10-06
336349,2023.0,Pramoda Nest ,mumbai,"Looking for a charming 2 BHK gated society apartment for boys, girls, and family at an affordable price in Veer Desai Industrial Estate, Mumbai? Then, this is right one for you.",Gated Society Apartment,2 BHK,andheri west,2,0,2,"boys,girls,family",house,650,2,unfurnished,"['Swimming Pool', 'Gym', 'Power Backup', 'Security']",62500,62500,187500,19.13772964477539,72.83435821533203,2023-10-10
360927,2012.0,Nathkrupa Residency_	303,pune,"This spacious semi_furnished 1 BK independent apartment for boys is located at Sainath Nagar,Pune and is close to the major commercial centres of the area.",Independent Apartment,1 BK,wadgaon sheri,1,0,1,boys,house,400,1,semi_furnished,[],18000,18000,18000,18.540542602539062,73.93403625488281,2023-10-10
320278,2016.0,	marigold runwal bliss 2006,mumbai,"Located at Kanjurmarg East, Mumbai, this cosy 2 BHK gated society apartment, which is priced at ₹12200 per bed with a security deposit of ₹24400.",Gated Society Apartment,2 BHK,bhandup east,1,1,0,girls,bed,710,2,semi_furnished,"['Swimming Pool', 'Gym', 'AC', 'Power Backup', 'Security']",12200,46200,92400,19.131885528564453,72.93505096435547,2023-10-21
239176,2006.0, Powai Park CHS,mumbai,"This cosy 2 BHK fully_furnished, house is located in the heart of Hiranandani Garden, Mumbai. Priced at ₹12550 per bed.",Independent House,2 BHK,powai,1,1,0,boys,bed,750,2,fully_furnished,[],12550,23550,47100,19.11723899841309,72.90888214111328,2023-11-21
337533,2013.0,Dhanalakshmi M Nest,chennai,"Looking for a spacious 3 BHK independent house for girls at an affordable price in Radhakrishnan Nagar, Chennai? Then, this is right one for you.",Independent House,3 BHK,thiruvanmiyur,6,0,3,girls,bed,1150,3,fully_furnished,"['AC', 'Power Backup', 'Washing Machine', 'Fridge', 'Tv']",8333,16666,33332,12.991813659667969,80.25829315185547,2023-10-07
8914,,Manjula Nest,bengaluru,"Located at Khb Colony, Bengaluru, this cosy 3 BHK independent house, which is priced at ₹8500 per bed with a security deposit of ₹17000.",Independent House,3 BHK,vijaya nagar,1,1,0,boys,bed,1300,1,fully_furnished,[],8500,17350,34700,12.979454040527344,77.53524017333984,2023-10-06
292786,2010.0,Ashrith Le Parc 301,bengaluru,"Located at Doddanagamangala, Bengaluru, this cosy 2 BHK independent apartment, which is priced at ₹26000 for full house with a security deposit of ₹52000.",Independent Apartment,2 BHK,naganathapura,2,0,2,family,house,1000,2,semi_furnished,[],13000,13000,26000,12.86611557006836,77.66183471679688,2023-10-18
341195,2020.0,Yashodhan Apartment_20,pune,"This quiet fully_furnished STUDIO independent apartment for boys is located at Keshav Nagar,Pune and is close to the major commercial centres of the area.",Independent Apartment,STUDIO,amanora park town,2,0,1,boys,bed,250,1,fully_furnished,"['Security', 'Washing Machine', 'Fridge']",6550,13100,13100,18.51027107238769,73.93761444091797,2023-10-10
25502,,Pankaj Nikam's Nest,mumbai,"Located at Taximens Colony, Mumbai, this comfortable 2 BHK independent apartment, which is priced at ₹14810 per bed with a security deposit of ₹44430.",Independent Apartment,2 BHK,kurla west,4,1,1,boys,bed,850,2,semi_furnished,[],14810,31200,93600,19.068750381469727,72.87506103515625,2023-10-09
319610,2010.0,Gopal Nest 13,bengaluru,"Located at Hmt Layout, Bengaluru, this comfortable 2 BHK independent apartment, which is priced at ₹14500 for full house with a security deposit of ₹29000.",Independent Apartment,2 BHK,yesvantpur,2,0,2,"boys,girls,family",house,700,2,semi_furnished,[],8250,8250,16500,13.032951354980469,77.55486297607422,2023-10-07
1683,,Rajeev House Ardee City,gurugram,"This spacious fully_furnished 4 BHK independent house for girls is located at Block C,Gurugram and is close to the major commercial centres of the area.",Independent House,4 BHK,ardee city,6,3,3,girls,bed,1500,2,fully_furnished,['Power Backup'],5600,10500,10500,28.43914031982422,77.0766372680664,2023-10-07
360914,2016.0,1 BHK Malviya Nagar,newdelhi,"Located at Block F, New delhi, this comfortable 1 BHK independent apartment, which is priced at ₹26000 for full house with a security deposit of ₹26000.",Independent Apartment,1 BHK,malviya nagar,1,0,1,"boys,girls,family",house,475,1,fully_furnished,[],26000,26000,26000,28.52925109863281,77.20785522460938,2023-10-07
354096,2020.0,HelloWorld Aura,indore,"This beautiful STUDIO fully_furnished, house is located in the heart of Scheme 134, Indore. Priced at ₹5000 per bed.",Independent Apartment,STUDIO,nipania,2,0,1,"boys,girls",bed,350,1,fully_furnished,"['Power Backup', 'Washing Machine', 'Fridge', 'Tv']",5000,10000,10000,22.75250625610352,75.9182357788086,2023-10-07
331101,2010.0,Rita House - 10,indore,"Looking for a spacious 1 BHK independent apartment for boys, girls, and family at an affordable price in Sukhila, Mangal Nagar, Indore? Then, this is right one for you.",Independent Apartment,1 BHK,sukhlia,1,0,1,"boys,girls,family",house,500,1,semi_furnished,[],9000,9000,9000,22.755277633666992,75.87205505371094,2023-10-07
261513,2018.0,Mayur Nest,indore,"Looking for a spacious 1 BHK independent apartment for family at an affordable price in Bhawrasla, Indore? Then, this is right one for you.",Independent Apartment,1 BHK,bhawrasla,1,0,1,family,house,800,1,unfurnished,[],5500,5500,11000,22.792940139770508,75.85359191894531,2023-10-07
259482,2010.0,Sanjay Nest#1,mumbai,"Located at Marol Village, Mumbai, this beautiful 2 BHK gated society apartment, which is priced at ₹8000 per bed with a security deposit of ₹20000.",Gated Society Apartment,2 BHK,andheri east,2,0,1,boys,house,915,2,fully_furnished,['Security'],8000,25850,64625,19.111536026000977,72.87861633300781,2023-10-10
288533,2022.0,Ishtika Agastya 107,bengaluru,"Looking for a quiet 2 BHK independent apartment for boys, girls, and family at an affordable price in Ashok Nagar, Bengaluru? Then, this is right one for you.",Independent Apartment,2 BHK,begalakunte,2,0,2,"boys,girls,family",house,1000,2,semi_furnished,['Security'],12880,12880,38640,13.054391860961914,77.498046875,2023-10-07
61285,,Gandhi House S F,gurugram,"Looking for a charming 3 BHK independent house for girls at an affordable price in Garden Villas, Gurugram? Then, this is right one for you.",Independent House,3 BHK,dlf city phase 4,3,0,1,girls,bed,1500,0,fully_furnished,[],4500,19500,39000,28.45974922180176,77.08548736572266,2023-10-09
336450,2015.0,Shri kalleshwar Apartment_14,pune,"Located at Warje, Pune, this beautiful 1 BHK independent apartment, which is priced at ₹16500 for full house with a security deposit of ₹49500.",Independent Apartment,1 BHK,warje,1,0,1,"boys,girls,family",house,600,1,unfurnished,[],16500,16500,49500,18.48394203186035,73.791015625,2023-10-10
360719,2023.0,Srinivas Nilayam Nest-403,bengaluru,"This quiet fully_furnished 1 BHK independent apartment for boys, girls, and family is located at Electronic City,Bengaluru and is close to the major commercial centres of the area.",Independent Apartment,1 BHK,electronic city,1,0,1,"boys,girls,family",house,650,1,fully_furnished,"['Fridge', 'Tv']",20000,20000,40000,12.855130195617676,77.67378997802734,2023-10-07
334258,2017.0,Khanna Nest,mumbai,"Located at Kohinoor City Rajawadi, Mumbai, this cosy 3 BHK gated society apartment, which is priced at ₹86000 for full house with a security deposit of ₹344000.",Gated Society Apartment,3 BHK,kurla west,3,0,3,family,house,1341,3,semi_furnished,"['Gym', 'Power Backup', 'Security']",30000,30000,120000,19.07994270324707,72.88455963134766,2023-10-10
357884,2019.0,Pintu Agarwal Nest -201,bengaluru,"This comfortable 1 BK fully_furnished, house is located in the heart of Someshwara Layout, Bengaluru. Priced at ₹11500 for full house.",Independent Apartment,1 BK,hulimavu,1,0,1,boys,house,120,1,fully_furnished,"['Washing Machine', 'Fridge', 'Tv']",11500,11500,23000,12.878775596618652,77.60103607177734,2023-10-07
359712,2020.0,Imtiyaz Nest_302,hyderabad,"This beautiful 2 BHK unfurnished, house is located in the heart of Samata Colony, Hyderabad. Priced at ₹23000 for full house.",Independent Apartment,2 BHK,tolichowki,2,0,2,"boys,girls,family",house,1000,2,unfurnished,['Security'],11500,11500,23000,17.399873733520508,78.40147399902344,2023-10-07
3641,,001- BM Lotus Apartments,bengaluru,"Looking for a quiet 3 BHK independent apartment for boys at an affordable price in Marathahalli, Bengaluru? Then, this is right one for you.",Independent Apartment,3 BHK,doddakannalli,2,2,0,boys,bed,1450,2,fully_furnished,[],6500,12100,12100,12.912508010864258,77.69828796386719,2023-10-06
4183,,D 703  Spring Bloom  BT Kawade Road,pune,"This charming fully_furnished 3 BHK gated society apartment for girls is located at Bhagyashree Nagar,Pune and is close to the major commercial centres of the area.",Gated Society Apartment,3 BHK,ghorpadi,3,1,1,girls,bed,1300,0,fully_furnished,['Security'],6650,17200,34400,18.52687644958496,73.90782165527344,2023-10-14
359918,2023.0,SP Recidency-203,bengaluru,"Located at Kachohalli, Bengaluru, this comfortable 2 BHK independent apartment, which is priced at ₹12000 for full house with a security deposit of ₹36000.",Independent Apartment,2 BHK,kachohalli,2,0,2,"boys,girls,family",house,900,2,semi_furnished,[],6000,6000,18000,12.992420196533203,77.46806335449219,2023-10-07
249089,2011.0,Liyakat Mohameddin Ansari,mumbai,"Looking for a quiet 3 BHK independent house for girls at an affordable price in Marol, Mumbai? Then, this is right one for you.",Independent House,3 BHK,andheri east,1,1,0,girls,house,950,3,fully_furnished,[],13000,22000,44000,19.11652565002441,72.8878402709961,2023-10-09
274039,2001.0,Gulmohar Symphony 503,pune,"This charming fully_furnished 2 BHK gated society apartment for boys is located at Tukaram Nagar,Pune and is close to the major commercial centres of the area.",Gated Society Apartment,2 BHK,wadgaon sheri,3,1,1,boys,bed,1000,2,fully_furnished,"['Security', 'Washing Machine', 'Fridge', 'Tv']",8250,17450,34900,18.550270080566406,73.93313598632812,2023-10-09
2493,,Siva Castle,bengaluru,"Looking for a spacious 4 BHK independent house for girls at an affordable price in Omkara Nagar, Bengaluru? Then, this is right one for you.",Independent House,4 BHK,arakere,7,1,2,girls,bed,1300,2,fully_furnished,[],6000,18000,36000,12.889362335205078,77.59551239013672,2023-10-07
351298,2020.0,HelloWorld Tranquil,bengaluru,"Located at Somasundarapalya, Bengaluru, this cosy 2 BHK independent apartment, which is priced at ₹25000 per bed with a security deposit of ₹25000.",Independent Apartment,2 BHK,hsr layout,2,0,2,"boys,girls",bed,1000,2,fully_furnished,"['Power Backup', 'Washing Machine', 'Fridge', 'Tv']",25000,25000,25000,12.899044036865234,77.65489959716797,2023-10-07
128928,,Kavita Rani Goswami NEST 143,newdelhi,"This beautiful 2 BHK fully_furnished, house is located in the heart of Greater Kailash, New delhi. Priced at ₹9900 per bed.",Independent House,2 BHK,zamrudpur,4,0,2,"boys,girls",bed,1800,1,fully_furnished,[],9900,19800,19800,28.557937622070312,77.2361068725586,2023-10-07
13117,,TRISHUL NEST TF 301,bengaluru,"Looking for a charming 3 BHK independent apartment for girls at an affordable price in Block 2, Bengaluru? Then, this is right one for you.",Independent Apartment,3 BHK,koramangala,2,2,1,girls,,1500,1,fully_furnished,[],8500,8500,17000,12.92466926574707,77.62054443359375,2023-10-06
126226,,shreepal  nagar D wing F 17,mumbai,"Located at Satya Nagar, Mumbai, this cosy 3 BHK gated society apartment, which is priced at ₹8500 per bed with a security deposit of ₹17000.",Gated Society Apartment,3 BHK,borivali west,2,2,0,girls,bed,1250,1,fully_furnished,"['Power Backup', 'Security']",8500,16620,33240,19.21767807006836,72.84244537353516,2023-10-11
244413,2014.0,Nehru 1 BHk,indore,"Looking for a spacious 1 BHK independent apartment for boys, girls, and family at an affordable price in Nehru Nagar, Indore? Then, this is right one for you.",Independent Apartment,1 BHK,nehru nagar,1,0,1,"boys,girls,family",house,750,1,unfurnished,[],9000,9000,9000,22.736648559570312,75.88076782226562,2023-10-07
360823,2019.0,Adarshmay Apartment_9,pune,"This charming fully_furnished STUDIO independent apartment for boys and girls is located at Lohegaon,Pune and is close to the major commercial centres of the area.",Independent Apartment,STUDIO,lohegaon,1,0,1,"boys,girls",house,350,1,fully_furnished,[],8000,8000,8000,18.616270065307617,73.91485595703125,2023-10-07
359025,2020.0,Manzil Classic _601   ,hyderabad,"Looking for a spacious 2 BHK independent apartment for boys, girls, and family at an affordable price in Khizra Enclave, Hyderabad? Then, this is right one for you.",Independent Apartment,2 BHK,puppal guda,2,0,2,"boys,girls,family",house,1400,2,semi_furnished,[],11500,11500,46000,17.395116806030273,78.38837432861328,2023-10-07
25489,,Gaurav Nest 70,noida,"Looking for a charming 3 BHK gated society apartment for girls at an affordable price in Block B, Noida? Then, this is right one for you.",Gated Society Apartment,3 BHK,sector 62,2,0,1,girls,bed,1500,1,fully_furnished,"['Swimming Pool', 'Power Backup', 'Security']",5250,13700,27400,28.622209548950195,77.37094116210938,2023-10-07
351040,2022.0,K R Sampath_103,bengaluru,"This cosy 1 BHK semi_furnished, house is located in the heart of Saraswati Puram, Bengaluru. Priced at ₹8000 for full house.",Independent Apartment,1 BHK,devarachikannahalli,1,0,1,family,house,400,1,semi_furnished,[],8000,8000,40000,12.879912376403809,77.61573028564453,2023-10-07
8252,,2BHK (202) IN Sree Nivas,hyderabad,"This comfortable 2 BHK fully_furnished, house is located in the heart of Madeenaguda, Hyderabad. Priced at ₹6600 per bed.",Independent House,2 BHK,hafizpet,1,1,0,boys,bed,1000,1,fully_furnished,[],6600,11750,23500,17.49371337890625,78.34422302246094,2023-10-25
7335,,DSR Green Vista,bengaluru,"This spacious fully_furnished 3 BHK independent house for girls is located at Whitefield,Bengaluru and is close to the major commercial centres of the area.",Independent House,3 BHK,whitefield,1,1,0,girls,bed,1300,1,fully_furnished,[],8000,16000,32000,12.983716011047363,77.74457550048828,2023-10-08
317954,2013.0,Mishra Nest.,gurugram,"Located at Sector 39, Gurugram, this comfortable 3 BHK independent house, which is priced at ₹38000 for full house with a security deposit of ₹38000.",Independent House,3 BHK,sector 39,3,0,3,family,house,2000,3,semi_furnished,[],12666,12666,38000,28.43906593322754,77.052001953125,2023-10-07
260304,2018.0,Siddhanta Niketan,indore,"This beautiful 1 BHK unfurnished, house is located in the heart of Bhawrasla, Indore. Priced at ₹6500 for full house.",Independent Apartment,1 BHK,bhawrasla,1,0,1,family,house,700,1,unfurnished,[],6500,6500,6500,22.79293441772461,75.85358428955078,2023-10-07
337055,2015.0,BANUMATHY R 01,chennai,"This quiet unfurnished 1 BHK independent house for family is located at Surendra Nagar,Chennai and is close to the major commercial centres of the area.",Independent House,1 BHK,adambakkam,1,0,1,family,house,750,1,unfurnished,[],16500,16500,82500,12.987035751342772,80.1978530883789,2023-10-07
